expression,num_instances,feasible_rate,avg_cost,avg_runtime_sec,avg_num_routes,complexity,behavior_signature,is_novel,mo_score,round_idx
dist_matrix[current][c],29,1.0,1293.3793103448277,0.025136133720134866,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",True,0.625,0
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1309.7241379310344,0.04352313896705364,8.172413793103448,46,"(1309.72, 8.17, 1.0, 9)",True,0.6242827868852457,0
dist_matrix[current][c] - instance['demands'][c],29,1.0,1371.0,0.035056656804578055,8.172413793103448,35,"(1371.0, 8.17, 1.0, 7)",True,0.6956747658079626,0
dist_matrix[current][c] - 2 * instance['demands'][c],29,1.0,1455.1724137931035,0.039565004151442956,8.172413793103448,40,"(1455.17, 8.17, 1.0, 8)",True,0.8296545667447309,0
dist_matrix[current][c] + instance['demands'][c],29,1.0,1461.655172413793,0.03650416999027647,8.310344827586206,35,"(1461.66, 8.31, 1.0, 7)",True,0.9803571428571429,0
dist_matrix[current][c] - 0.2 * dist_matrix[c][instance['depot']],29,1.0,1260.0689655172414,0.043741727697438205,8.172413793103448,46,"(1260.07, 8.17, 1.0, 9)",True,0.5818181818181819,1
dist_matrix[current][c] - (dist_matrix[c][instance['depot']] + instance['demands'][c]) * 0.2,29,1.0,1274.7586206896551,0.0569581492193814,8.172413793103448,62,"(1274.76, 8.17, 1.0, 12)",True,0.6182175846732809,1
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1293.3793103448277,0.043345591117595804,8.172413793103448,46,"(1293.38, 8.17, 1.0, 9)",True,0.6231284794575935,1
dist_matrix[current][c],29,1.0,1293.3793103448277,0.02436800660758183,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",False,0.6663102976394116,1
0.1 * remaining + (dist_matrix[current][c] - 0.3 * instance['demands'][c]),29,1.0,1294.3103448275863,0.04700389401666049,8.172413793103448,51,"(1294.31, 8.17, 1.0, 10)",True,0.6299649332877182,1
dist_matrix[current][c] - 0.4 * instance['demands'][c],29,1.0,1299.551724137931,0.03876993573945144,8.172413793103448,40,"(1299.55, 8.17, 1.0, 8)",True,0.6239651043448511,1
0.3 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1309.7241379310344,0.04448251066536739,8.172413793103448,46,"(1309.72, 8.17, 1.0, 9)",False,0.6433987497278637,1
dist_matrix[current][c] - instance['demands'][c],29,1.0,1371.0,0.036681972700974036,8.172413793103448,35,"(1371.0, 8.17, 1.0, 7)",False,0.7068908810997419,1
dist_matrix[current][c] - 2 * instance['demands'][c],29,1.0,1455.1724137931035,0.04055132537052549,8.172413793103448,40,"(1455.17, 8.17, 1.0, 8)",False,0.8169603147451251,1
dist_matrix[current][c] + instance['demands'][c],29,1.0,1461.655172413793,0.037574283007917736,8.310344827586206,35,"(1461.66, 8.31, 1.0, 7)",False,0.9693181818181819,1
dist_matrix[current][c] - 0.2 * dist_matrix[c][instance['depot']],29,1.0,1260.0689655172414,0.045884699657045565,8.172413793103448,46,"(1260.07, 8.17, 1.0, 9)",False,0.5818181818181819,2
dist_matrix[current][c] - (dist_matrix[c][instance['depot']] + instance['demands'][c]) * 0.2,29,1.0,1274.7586206896551,0.05794040087995858,8.172413793103448,62,"(1274.76, 8.17, 1.0, 12)",False,0.6930131004366812,2
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1293.3793103448277,0.04415018805142107,8.172413793103448,46,"(1293.38, 8.17, 1.0, 9)",False,0.7927352123858685,2
dist_matrix[current][c],29,1.0,1293.3793103448277,0.02533433355134109,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",False,0.9109170305676867,2
0.1 * remaining + (dist_matrix[current][c] - 0.3 * instance['demands'][c]),29,1.0,1294.3103448275863,0.050010549611058726,8.172413793103448,51,"(1294.31, 8.17, 1.0, 10)",False,0.8043122270742368,2
dist_matrix[current][c] - 0.4 * instance['demands'][c],29,1.0,1299.551724137931,0.040505170822143555,8.172413793103448,40,"(1299.55, 8.17, 1.0, 8)",True,0.8250000000000001,2
dist_matrix[current][c] - 0.2 * dist_matrix[c][instance['depot']],29,1.0,1260.0689655172414,0.04558941413616312,8.172413793103448,46,"(1260.07, 8.17, 1.0, 9)",False,0.5818181818181819,3
dist_matrix[current][c] - (dist_matrix[c][instance['depot']] + instance['demands'][c]) * 0.2,29,1.0,1274.7586206896551,0.05868555759561473,8.172413793103448,62,"(1274.76, 8.17, 1.0, 12)",False,0.6930131004366812,3
0.2 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],29,1.0,1293.3793103448277,0.045169830322265625,8.172413793103448,46,"(1293.38, 8.17, 1.0, 9)",False,0.7927352123858685,3
dist_matrix[current][c],29,1.0,1293.3793103448277,0.025817377813931168,8.241379310344827,18,"(1293.38, 8.24, 1.0, 3)",False,0.9109170305676867,3
0.1 * remaining + (dist_matrix[current][c] - 0.3 * instance['demands'][c]),29,1.0,1294.3103448275863,0.05023903682314117,8.172413793103448,51,"(1294.31, 8.17, 1.0, 10)",False,0.8043122270742368,3
dist_matrix[current][c] - 0.4 * instance['demands'][c],29,1.0,1299.551724137931,0.04022362314421555,8.172413793103448,40,"(1299.55, 8.17, 1.0, 8)",True,0.8250000000000001,3
