expression,num_instances,feasible_rate,avg_objective,avg_cost,avg_distance,avg_late_penalty,avg_spoil_penalty,avg_late_customers,avg_spoil_customers,avg_num_routes,avg_runtime_sec
nearest_neighbor,29,1.0,355783.5034482759,355783.5034482759,1293.3793103448277,15691.337931034484,338798.7862068966,3.206896551724138,19.0,8.241379310344827,0.006685322728650323
ortools,29,1.0,461412.53103448276,461412.53103448276,949.551724137931,29346.924137931037,431116.0551724138,4.551724137931035,22.75862068965517,8.137931034482758,3.001961042141092
greedy,29,1.0,897395.5999999999,897395.5999999999,2521.655172413793,124269.93103448271,770604.0137931034,23.06896551724138,45.41379310344828,8.137931034482758,0.0013045113662193562
