instance,expression,feasible,objective,cost,distance,late_penalty,spoil_penalty,late_customers,spoil_customers,num_routes,runtime_sec
M-n121-k7,greedy,True,678812.9999999999,678812.9999999999,4233.0,91477.6,583102.3999999999,56,94,7,0.002209186553955078
M-n151-k12,greedy,True,667671.7999999999,667671.7999999999,3822.0,54536.0,609313.7999999999,50,99,12,0.004216432571411133
M-n200-k16,greedy,True,802490.2000000002,802490.2000000002,4618.0,64694.39999999999,733177.8000000002,59,135,16,0.006220340728759766
M-n200-k17,greedy,True,771674.5999999997,771674.5999999997,4618.0,61303.999999999985,705752.5999999997,60,133,16,0.006892204284667969
P-n101-k4,greedy,True,1248288.1999999997,1248288.1999999997,2822.0,200020.00000000003,1045446.1999999997,65,84,4,0.0020470619201660156
P-n23-k8,ortools,True,757.0,757.0,706.0,0.0,51.0,0,1,8,3.007082223892212
A-n38-k5,ortools,True,49474.8,49474.8,735.0,808.8,47931.0,2,12,5,3.0021727085113525
A-n33-k5,ortools,True,42079.4,42079.4,661.0,570.4,40848.0,1,9,5,3.0016329288482666
B-n35-k5,ortools,True,37431.0,37431.0,958.0,0.0,36473.0,0,11,5,3.001577377319336
B-n31-k5,ortools,True,10329.0,10329.0,672.0,0.0,9657.0,0,4,5,3.0009732246398926
A-n48-k7,ortools,True,41745.4,41745.4,1150.0,1406.3999999999999,39189.0,4,16,7,3.001478433609009
A-n39-k5,ortools,True,36753.2,36753.2,825.0,19.200000000000003,35909.0,1,11,5,3.0015928745269775
A-n37-k6,ortools,True,35100.200000000004,35100.200000000004,953.0,524.8000000000001,33622.4,1,11,6,3.0020668506622314
P-n16-k8,ortools,True,450.0,450.0,450.0,0.0,0.0,0,0,8,3.0011582374572754
A-n37-k5,ortools,True,42035.8,42035.8,669.0,52.0,41314.8,1,12,5,3.0011560916900635
P-n70-k10,ortools,True,81784.0,81784.0,926.0,0.0,80858.0,0,18,10,3.002028703689575
E-n76-k8,ortools,True,101902.6,101902.6,769.0,117.60000000000001,101016.0,2,22,8,3.0013086795806885
A-n55-k9,ortools,True,46053.0,46053.0,1129.0,0.0,44924.0,0,9,9,3.002074956893921
A-n54-k7,ortools,True,69837.0,69837.0,1228.0,112.0,68497.0,1,18,7,3.0015437602996826
A-n62-k8,ortools,True,56188.4,56188.4,1326.0,64.0,54798.4,2,21,8,3.0020077228546143
B-n52-k7,ortools,True,19376.0,19376.0,752.0,0.0,18624.0,0,8,7,3.0018563270568848
B-n56-k7,ortools,True,25947.0,25947.0,716.0,0.0,25231.0,0,9,7,3.001721143722534
P-n55-k7,ortools,True,64921.8,64921.8,576.0,136.79999999999998,64209.0,1,15,7,3.001742362976074
P-n65-k10,ortools,True,51249.8,51249.8,827.0,12.8,50410.0,1,13,10,3.001028299331665
B-n63-k10,ortools,True,44858.8,44858.8,1624.0,284.8,42950.0,1,14,10,3.00191068649292
E-n101-k14,ortools,True,99384.0,99384.0,1163.0,0.0,98221.0,0,18,14,3.0017077922821045
E-n101-k8,ortools,True,191876.4,191876.4,866.0,2309.5999999999995,188700.8,9,33,8,3.0015439987182617
F-n135-k7,ortools,True,10758899.200000001,10758899.200000001,1284.0,823302.4000000001,9934312.8,78,98,7,3.0021471977233887
M-n101-k10,ortools,True,113061.0,113061.0,841.0,0.0,112220.0,0,20,10,3.0017027854919434
M-n121-k7,ortools,True,170889.4,170889.4,1048.0,548.0,169293.4,2,49,7,3.001615285873413
M-n151-k12,ortools,True,228455.2,228455.2,1106.0,1151.2,226198.0,4,45,12,3.0023646354675293
M-n200-k16,ortools,True,305738.0,305738.0,1439.0,1073.6,303225.4,2,60,16,3.00290846824646
M-n200-k17,ortools,True,291845.0,291845.0,1439.0,980.0,289426.0,1,56,16,3.003300905227661
P-n101-k4,ortools,True,362541.0,362541.0,699.0,17586.399999999998,344255.6,18,47,4,3.0014655590057373
