instance,expression,cost,runtime_sec,feasible,num_routes,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
P-n23-k8,dist_matrix[current][c],746.0,0.0012602806091308594,True,9,0,529.0,P,23,217.0,41.02079395085066
A-n38-k5,dist_matrix[current][c],1084.0,0.004926204681396484,True,5,0,730.0,A,38,354.0,48.49315068493151
A-n33-k5,dist_matrix[current][c],977.0,0.003298044204711914,True,5,0,661.0,A,33,316.0,47.806354009077154
B-n35-k5,dist_matrix[current][c],1304.0,0.0036025047302246094,True,5,0,955.0,B,35,349.0,36.544502617801044
B-n31-k5,dist_matrix[current][c],887.0,0.0026535987854003906,True,5,0,672.0,B,31,215.0,31.994047619047617
A-n48-k7,dist_matrix[current][c],1475.0,0.007052898406982422,True,7,0,1073.0,A,48,402.0,37.46505125815471
A-n39-k5,dist_matrix[current][c],1070.0,0.0043337345123291016,True,5,0,822.0,A,39,248.0,30.170316301703163
A-n37-k6,dist_matrix[current][c],1334.0,0.003513813018798828,True,6,0,949.0,A,37,385.0,40.56902002107481
P-n16-k8,dist_matrix[current][c],497.0,0.0006673336029052734,True,8,0,450.0,P,16,47.0,10.444444444444445
A-n37-k5,dist_matrix[current][c],948.0,0.004521608352661133,True,5,0,669.0,A,37,279.0,41.70403587443946
P-n70-k10,dist_matrix[current][c],1010.0,0.016541004180908203,True,10,0,827.0,P,70,183.0,22.128174123337363
E-n76-k8,dist_matrix[current][c],1081.0,0.018790721893310547,True,8,0,735.0,E,76,346.0,47.074829931972786
A-n55-k9,dist_matrix[current][c],1500.0,0.00975799560546875,True,9,0,1073.0,A,55,427.0,39.79496738117428
A-n54-k7,dist_matrix[current][c],1421.0,0.009180068969726562,True,7,0,1167.0,A,54,254.0,21.765209940017137
A-n62-k8,dist_matrix[current][c],1775.0,0.012099981307983398,True,8,0,1288.0,A,62,487.0,37.81055900621118
B-n52-k7,dist_matrix[current][c],1276.0,0.008565425872802734,True,7,0,747.0,B,52,529.0,70.81659973226239
B-n56-k7,dist_matrix[current][c],1248.0,0.01010441780090332,True,7,0,707.0,B,56,541.0,76.52050919377652
P-n55-k7,dist_matrix[current][c],754.0,0.010043621063232422,True,7,0,568.0,P,55,186.0,32.74647887323944
P-n65-k10,dist_matrix[current][c],1096.0,0.013941287994384766,True,10,0,792.0,P,65,304.0,38.38383838383838
B-n63-k10,dist_matrix[current][c],2002.0,0.013037681579589844,True,10,0,1496.0,B,63,506.0,33.82352941176471
E-n101-k14,dist_matrix[current][c],1658.0,0.03202080726623535,True,14,0,1067.0,E,101,591.0,55.38894095595126
E-n101-k8,dist_matrix[current][c],1176.0,0.03366398811340332,True,8,0,815.0,E,101,361.0,44.29447852760736
F-n135-k7,dist_matrix[current][c],1792.0,0.061421871185302734,True,7,0,1162.0,F,135,630.0,54.21686746987952
M-n101-k10,dist_matrix[current][c],1299.0,0.035164594650268555,True,10,0,820.0,M,101,479.0,58.41463414634146
M-n121-k7,dist_matrix[current][c],1552.0,0.055768489837646484,True,7,0,1034.0,M,121,518.0,50.09671179883946
M-n151-k12,dist_matrix[current][c],1547.0,0.08491230010986328,True,12,0,1015.0,M,151,532.0,52.41379310344828
M-n200-k16,dist_matrix[current][c],1989.0,0.1408090591430664,True,17,0,1274.0,M,200,715.0,56.12244897959183
M-n200-k17,dist_matrix[current][c],1989.0,0.13303804397583008,True,17,0,1275.0,M,200,714.0,56.00000000000001
P-n101-k4,dist_matrix[current][c],1021.0,0.03447103500366211,True,4,0,681.0,P,101,340.0,49.926578560939795
P-n23-k8,dist_matrix[current][c] - 2 * instance['demands'][c],653.0,0.002352476119995117,True,9,0,529.0,P,23,124.0,23.440453686200378
A-n38-k5,dist_matrix[current][c] - 2 * instance['demands'][c],912.0,0.006428241729736328,True,5,0,730.0,A,38,182.0,24.93150684931507
A-n33-k5,dist_matrix[current][c] - 2 * instance['demands'][c],928.0,0.005004167556762695,True,5,0,661.0,A,33,267.0,40.39334341906203
B-n35-k5,dist_matrix[current][c] - 2 * instance['demands'][c],1164.0,0.005591154098510742,True,5,0,955.0,B,35,209.0,21.8848167539267
B-n31-k5,dist_matrix[current][c] - 2 * instance['demands'][c],909.0,0.005391359329223633,True,5,0,672.0,B,31,237.0,35.267857142857146
A-n48-k7,dist_matrix[current][c] - 2 * instance['demands'][c],1507.0,0.011585712432861328,True,7,0,1073.0,A,48,434.0,40.44734389561976
A-n39-k5,dist_matrix[current][c] - 2 * instance['demands'][c],1131.0,0.00714111328125,True,5,0,822.0,A,39,309.0,37.591240875912405
A-n37-k6,dist_matrix[current][c] - 2 * instance['demands'][c],1409.0,0.006459951400756836,True,6,0,949.0,A,37,460.0,48.472075869336145
P-n16-k8,dist_matrix[current][c] - 2 * instance['demands'][c],497.0,0.0010485649108886719,True,8,0,450.0,P,16,47.0,10.444444444444445
A-n37-k5,dist_matrix[current][c] - 2 * instance['demands'][c],1018.0,0.005661964416503906,True,5,0,669.0,A,37,349.0,52.167414050822124
P-n70-k10,dist_matrix[current][c] - 2 * instance['demands'][c],1357.0,0.036757469177246094,True,10,0,827.0,P,70,530.0,64.08706166868198
E-n76-k8,dist_matrix[current][c] - 2 * instance['demands'][c],1332.0,0.031169891357421875,True,8,0,735.0,E,76,597.0,81.22448979591836
A-n55-k9,dist_matrix[current][c] - 2 * instance['demands'][c],1454.0,0.013893604278564453,True,9,0,1073.0,A,55,381.0,35.507921714818266
A-n54-k7,dist_matrix[current][c] - 2 * instance['demands'][c],1536.0,0.013593912124633789,True,7,0,1167.0,A,54,369.0,31.619537275064268
A-n62-k8,dist_matrix[current][c] - 2 * instance['demands'][c],1826.0,0.020297765731811523,True,8,0,1288.0,A,62,538.0,41.77018633540372
B-n52-k7,dist_matrix[current][c] - 2 * instance['demands'][c],1169.0,0.013056278228759766,True,7,0,747.0,B,52,422.0,56.49263721552879
B-n56-k7,dist_matrix[current][c] - 2 * instance['demands'][c],1224.0,0.0187075138092041,True,7,0,707.0,B,56,517.0,73.12588401697313
P-n55-k7,dist_matrix[current][c] - 2 * instance['demands'][c],920.0,0.015537261962890625,True,7,0,568.0,P,55,352.0,61.97183098591549
P-n65-k10,dist_matrix[current][c] - 2 * instance['demands'][c],1306.0,0.01972222328186035,True,10,0,792.0,P,65,514.0,64.8989898989899
B-n63-k10,dist_matrix[current][c] - 2 * instance['demands'][c],1998.0,0.019883155822753906,True,10,0,1496.0,B,63,502.0,33.55614973262032
E-n101-k14,dist_matrix[current][c] - 2 * instance['demands'][c],1716.0,0.04982876777648926,True,14,0,1067.0,E,101,649.0,60.824742268041234
E-n101-k8,dist_matrix[current][c] - 2 * instance['demands'][c],1587.0,0.05294489860534668,True,8,0,815.0,E,101,772.0,94.7239263803681
F-n135-k7,dist_matrix[current][c] - 2 * instance['demands'][c],3303.0,0.09681582450866699,True,7,0,1162.0,F,135,2141.0,184.2512908777969
