instance,expression,cost,runtime_sec,feasible,num_routes,round_idx,known_opt_cost,set_id,dimension,gap,gap_pct
A-n54-k7,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1539.0,0.01590561866760254,True,7,1,1167.0,A,54,372.0,31.876606683804624
A-n62-k8,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1827.0,0.022403478622436523,True,8,1,1288.0,A,62,539.0,41.84782608695652
B-n52-k7,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1282.0,0.013520479202270508,True,7,1,747.0,B,52,535.0,71.61981258366801
B-n56-k7,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1297.0,0.018070697784423828,True,7,1,707.0,B,56,590.0,83.45120226308345
P-n55-k7,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],819.0,0.017877578735351562,True,7,1,568.0,P,55,251.0,44.190140845070424
P-n65-k10,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1219.0,0.0264279842376709,True,10,1,792.0,P,65,427.0,53.91414141414141
B-n63-k10,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],2047.0,0.02101922035217285,True,10,1,1496.0,B,63,551.0,36.831550802139034
E-n101-k14,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1669.0,0.05875062942504883,True,14,1,1067.0,E,101,602.0,56.41986879100281
E-n101-k8,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1353.0,0.05614113807678223,True,8,1,815.0,E,101,538.0,66.0122699386503
F-n135-k7,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1758.0,0.10328102111816406,True,7,1,1162.0,F,135,596.0,51.29087779690189
M-n101-k10,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1185.0,0.0657658576965332,True,10,1,820.0,M,101,365.0,44.51219512195122
M-n121-k7,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1707.0,0.09425687789916992,True,7,1,1034.0,M,121,673.0,65.08704061895551
M-n151-k12,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1686.0,0.13540077209472656,True,12,1,1015.0,M,151,671.0,66.10837438423646
M-n200-k16,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1923.0,0.23787474632263184,True,17,1,1274.0,M,200,649.0,50.94191522762951
M-n200-k17,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1923.0,0.23814702033996582,True,17,1,1275.0,M,200,648.0,50.8235294117647
P-n101-k4,0.5 * dist_matrix[c][instance['depot']] + dist_matrix[current][c],1062.0,0.0610508918762207,True,4,1,681.0,P,101,381.0,55.947136563876654
P-n23-k8,dist_matrix[c][instance['depot']] + dist_matrix[current][c],629.0,0.0029311180114746094,True,9,1,529.0,P,23,100.0,18.90359168241966
A-n38-k5,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1078.0,0.00783681869506836,True,5,1,730.0,A,38,348.0,47.671232876712324
A-n33-k5,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1044.0,0.006085634231567383,True,5,1,661.0,A,33,383.0,57.94251134644478
B-n35-k5,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1232.0,0.007575273513793945,True,5,1,955.0,B,35,277.0,29.005235602094242
B-n31-k5,dist_matrix[c][instance['depot']] + dist_matrix[current][c],896.0,0.004881858825683594,True,5,1,672.0,B,31,224.0,33.33333333333333
A-n48-k7,dist_matrix[c][instance['depot']] + dist_matrix[current][c],1580.0,0.011367559432983398,True,7,1,1073.0,A,48,507.0,47.25069897483691
